Gender,Age,Region,Diagnosis,2019,2020,2021,2022
Men,1-4 years,Region Syddanmark,"Diseases of ear, nose and throat",100,41,81,115
Men,1-4 years,Region Syddanmark,"Endocrine, metabolic and chromosomic diseases",53,31,56,59
Men,1-4 years,Region Syddanmark,Mental disorders,..,..,0,0
Men,1-4 years,Region Syddanmark,Diseases of mamma,0,0,0,0
Men,1-4 years,Region Syddanmark,Sterilization,0,0,0,0
Men,1-4 years,Region Syddanmark,Concussion,10,9,6,6
Men,1-4 years,Region Syddanmark,Poisonings,11,11,8,4
Men,1-4 years,Region Syddanmark,Live-born children,0,0,0,0
Men,1-4 years,Region Syddanmark,Other diseases,151,145,132,183
Men,1-4 years,Region Midtjylland,"Diagnosis, total",1191,930,1192,1214
Men,1-4 years,Region Midtjylland,Infectious diseases,115,64,121,137
Men,1-4 years,Region Midtjylland,Diseases of lung,293,220,376,286
Men,1-4 years,Region Midtjylland,Diseases of the nervous system,88,66,54,56
Men,1-4 years,Region Midtjylland,Diseases of the heart and great vessels,3,7,7,6
Men,1-4 years,Region Midtjylland,"Diseases of arteries, veins, lymph",3,11,3,6
Men,1-4 years,Region Midtjylland,Varicose veins in leg,0,0,0,0
Men,1-4 years,Region Midtjylland,Diseases of blood and lymphatic tissue,29,34,22,26
Men,1-4 years,Region Midtjylland,Diseases of the stomach and intestines,58,52,66,83
Men,1-4 years,Region Midtjylland,Diseases of the urinary tract,22,24,31,26
Men,1-4 years,Region Midtjylland,Diseases of the musculoskeletal system,85,83,88,108
Men,1-4 years,Region Midtjylland,Diseases of female genital organs,0,0,0,0
Men,1-4 years,Region Midtjylland,"Diseases of pregnancy, delivery and the perinatal period",..,..,0,..
Men,1-4 years,Region Midtjylland,Diseases of the skin and venereal diseases,36,24,30,26
Men,1-4 years,Region Midtjylland,Diseases of the eye,..,..,4,..
Men,1-4 years,Region Midtjylland,"Diseases of ear, nose and throat",163,94,95,131
Men,1-4 years,Region Midtjylland,"Endocrine, metabolic and chromosomic diseases",56,19,26,47
Men,1-4 years,Region Midtjylland,Mental disorders,5,5,3,7
Men,1-4 years,Region Midtjylland,Diseases of mamma,0,0,0,0
Men,1-4 years,Region Midtjylland,Sterilization,0,0,0,0
Men,1-4 years,Region Midtjylland,Concussion,8,16,27,15
Men,1-4 years,Region Midtjylland,Poisonings,17,16,14,18
Men,1-4 years,Region Midtjylland,Live-born children,0,0,0,0
Men,1-4 years,Region Midtjylland,Other diseases,207,192,225,233
Men,1-4 years,Region Nordjylland,"Diagnosis, total",508,457,562,625
Men,1-4 years,Region Nordjylland,Infectious diseases,32,33,46,80
Men,1-4 years,Region Nordjylland,Diseases of lung,123,104,166,145
Men,1-4 years,Region Nordjylland,Diseases of the nervous system,19,17,28,24
Men,1-4 years,Region Nordjylland,Diseases of the heart and great vessels,0,0,0,..
Men,1-4 years,Region Nordjylland,"Diseases of arteries, veins, lymph",4,4,3,..
Men,1-4 years,Region Nordjylland,Varicose veins in leg,0,0,0,0
Men,1-4 years,Region Nordjylland,Diseases of blood and lymphatic tissue,11,8,11,17
Men,1-4 years,Region Nordjylland,Diseases of the stomach and intestines,24,25,31,27
Men,1-4 years,Region Nordjylland,Diseases of the urinary tract,15,12,8,12
Men,1-4 years,Region Nordjylland,Diseases of the musculoskeletal system,34,36,43,30
Men,1-4 years,Region Nordjylland,Diseases of female genital organs,0,0,0,0
Men,1-4 years,Region Nordjylland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,1-4 years,Region Nordjylland,Diseases of the skin and venereal diseases,9,7,11,11
Men,1-4 years,Region Nordjylland,Diseases of the eye,..,4,..,5
Men,1-4 years,Region Nordjylland,"Diseases of ear, nose and throat",65,50,49,62
Men,1-4 years,Region Nordjylland,"Endocrine, metabolic and chromosomic diseases",55,18,25,73
Men,1-4 years,Region Nordjylland,Mental disorders,..,..,3,0
Men,1-4 years,Region Nordjylland,Diseases of mamma,0,0,0,0
Men,1-4 years,Region Nordjylland,Sterilization,0,0,0,0
Men,1-4 years,Region Nordjylland,Concussion,4,6,3,6
Men,1-4 years,Region Nordjylland,Poisonings,8,6,11,11
Men,1-4 years,Region Nordjylland,Live-born children,0,0,0,0
Men,1-4 years,Region Nordjylland,Other diseases,103,126,123,119
Men,5-9 years,Region Hovedstaden,"Diagnosis, total",1214,1139,1123,1342
Men,5-9 years,Region Hovedstaden,Infectious diseases,65,51,40,68
Men,5-9 years,Region Hovedstaden,Diseases of lung,149,137,111,165
Men,5-9 years,Region Hovedstaden,Diseases of the nervous system,64,54,73,66
Men,5-9 years,Region Hovedstaden,Diseases of the heart and great vessels,6,7,4,11
Men,5-9 years,Region Hovedstaden,"Diseases of arteries, veins, lymph",20,21,23,21
Men,5-9 years,Region Hovedstaden,Varicose veins in leg,0,0,0,0
Men,5-9 years,Region Hovedstaden,Diseases of blood and lymphatic tissue,29,30,35,25
Men,5-9 years,Region Hovedstaden,Diseases of the stomach and intestines,147,144,149,150
Men,5-9 years,Region Hovedstaden,Diseases of the urinary tract,52,48,44,64
Men,5-9 years,Region Hovedstaden,Diseases of the musculoskeletal system,303,314,273,318
Men,5-9 years,Region Hovedstaden,Diseases of female genital organs,0,0,0,0
Men,5-9 years,Region Hovedstaden,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,..
Men,5-9 years,Region Hovedstaden,Diseases of the skin and venereal diseases,39,35,44,33
Men,5-9 years,Region Hovedstaden,Diseases of the eye,15,11,8,15
Men,5-9 years,Region Hovedstaden,"Diseases of ear, nose and throat",64,43,42,82
Men,5-9 years,Region Hovedstaden,"Endocrine, metabolic and chromosomic diseases",28,22,33,34
Men,5-9 years,Region Hovedstaden,Mental disorders,5,6,13,10
Men,5-9 years,Region Hovedstaden,Diseases of mamma,0,0,0,0
Men,5-9 years,Region Hovedstaden,Sterilization,0,0,0,0
Men,5-9 years,Region Hovedstaden,Concussion,24,24,18,13
Men,5-9 years,Region Hovedstaden,Poisonings,6,6,12,6
Men,5-9 years,Region Hovedstaden,Live-born children,0,0,0,0
Men,5-9 years,Region Hovedstaden,Other diseases,198,186,201,260
Men,5-9 years,Region Sjælland,"Diagnosis, total",454,454,396,469
Men,5-9 years,Region Sjælland,Infectious diseases,20,12,11,29
Men,5-9 years,Region Sjælland,Diseases of lung,42,32,30,39
Men,5-9 years,Region Sjælland,Diseases of the nervous system,24,27,19,35
Men,5-9 years,Region Sjælland,Diseases of the heart and great vessels,..,..,..,..
Men,5-9 years,Region Sjælland,"Diseases of arteries, veins, lymph",..,13,4,5
Men,5-9 years,Region Sjælland,Varicose veins in leg,0,0,0,0
Men,5-9 years,Region Sjælland,Diseases of blood and lymphatic tissue,17,21,12,16
Men,5-9 years,Region Sjælland,Diseases of the stomach and intestines,75,70,60,47
Men,5-9 years,Region Sjælland,Diseases of the urinary tract,33,24,26,16
Men,5-9 years,Region Sjælland,Diseases of the musculoskeletal system,99,97,87,98
Men,5-9 years,Region Sjælland,Diseases of female genital organs,0,0,0,0
Men,5-9 years,Region Sjælland,"Diseases of pregnancy, delivery and the perinatal period",..,0,0,0
Men,5-9 years,Region Sjælland,Diseases of the skin and venereal diseases,10,13,9,10
Men,5-9 years,Region Sjælland,Diseases of the eye,4,3,4,6
Men,5-9 years,Region Sjælland,"Diseases of ear, nose and throat",16,24,18,33
Men,5-9 years,Region Sjælland,"Endocrine, metabolic and chromosomic diseases",22,13,19,15
Men,5-9 years,Region Sjælland,Mental disorders,8,8,4,5
Men,5-9 years,Region Sjælland,Diseases of mamma,0,0,0,0
Men,5-9 years,Region Sjælland,Sterilization,0,0,0,0
Men,5-9 years,Region Sjælland,Concussion,11,9,9,9
Men,5-9 years,Region Sjælland,Poisonings,..,6,..,3
Men,5-9 years,Region Sjælland,Live-born children,0,0,0,0
Men,5-9 years,Region Sjælland,Other diseases,66,81,80,102
Men,5-9 years,Region Syddanmark,"Diagnosis, total",466,458,407,527
Men,5-9 years,Region Syddanmark,Infectious diseases,15,15,14,31
Men,5-9 years,Region Syddanmark,Diseases of lung,53,41,32,49
Men,5-9 years,Region Syddanmark,Diseases of the nervous system,17,22,26,35
Men,5-9 years,Region Syddanmark,Diseases of the heart and great vessels,..,4,..,5
Men,5-9 years,Region Syddanmark,"Diseases of arteries, veins, lymph",3,3,8,4
Men,5-9 years,Region Syddanmark,Varicose veins in leg,0,0,0,0
Men,5-9 years,Region Syddanmark,Diseases of blood and lymphatic tissue,14,10,8,20
Men,5-9 years,Region Syddanmark,Diseases of the stomach and intestines,75,73,60,71
Men,5-9 years,Region Syddanmark,Diseases of the urinary tract,11,21,19,15
Men,5-9 years,Region Syddanmark,Diseases of the musculoskeletal system,138,144,123,147
Men,5-9 years,Region Syddanmark,Diseases of female genital organs,0,0,0,0
Men,5-9 years,Region Syddanmark,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,5-9 years,Region Syddanmark,Diseases of the skin and venereal diseases,10,7,10,7
Men,5-9 years,Region Syddanmark,Diseases of the eye,..,0,0,3
Men,5-9 years,Region Syddanmark,"Diseases of ear, nose and throat",17,22,9,32
Men,5-9 years,Region Syddanmark,"Endocrine, metabolic and chromosomic diseases",16,13,21,28
Men,5-9 years,Region Syddanmark,Mental disorders,8,3,4,3
Men,5-9 years,Region Syddanmark,Diseases of mamma,0,0,0,0
Men,5-9 years,Region Syddanmark,Sterilization,0,0,0,0
Men,5-9 years,Region Syddanmark,Concussion,10,18,15,15
Men,5-9 years,Region Syddanmark,Poisonings,3,0,..,3
Men,5-9 years,Region Syddanmark,Live-born children,0,0,0,0
Men,5-9 years,Region Syddanmark,Other diseases,73,62,54,59
Men,5-9 years,Region Midtjylland,"Diagnosis, total",486,454,512,578
Men,5-9 years,Region Midtjylland,Infectious diseases,14,18,25,48
Men,5-9 years,Region Midtjylland,Diseases of lung,40,43,57,62
Men,5-9 years,Region Midtjylland,Diseases of the nervous system,37,34,53,73
Men,5-9 years,Region Midtjylland,Diseases of the heart and great vessels,3,..,4,4
Men,5-9 years,Region Midtjylland,"Diseases of arteries, veins, lymph",4,3,3,5
Men,5-9 years,Region Midtjylland,Varicose veins in leg,0,0,0,0
Men,5-9 years,Region Midtjylland,Diseases of blood and lymphatic tissue,9,21,11,26
Men,5-9 years,Region Midtjylland,Diseases of the stomach and intestines,88,79,75,99
Men,5-9 years,Region Midtjylland,Diseases of the urinary tract,12,19,20,17
Men,5-9 years,Region Midtjylland,Diseases of the musculoskeletal system,149,109,114,87
Men,5-9 years,Region Midtjylland,Diseases of female genital organs,0,0,0,0
Men,5-9 years,Region Midtjylland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,5-9 years,Region Midtjylland,Diseases of the skin and venereal diseases,15,11,9,9
Men,5-9 years,Region Midtjylland,Diseases of the eye,0,3,..,4
Men,5-9 years,Region Midtjylland,"Diseases of ear, nose and throat",26,20,16,27
Men,5-9 years,Region Midtjylland,"Endocrine, metabolic and chromosomic diseases",21,17,33,28
Men,5-9 years,Region Midtjylland,Mental disorders,3,4,4,..
Men,5-9 years,Region Midtjylland,Diseases of mamma,0,0,0,0
Men,5-9 years,Region Midtjylland,Sterilization,0,0,0,0
Men,5-9 years,Region Midtjylland,Concussion,12,12,15,8
Men,5-9 years,Region Midtjylland,Poisonings,..,..,6,4
Men,5-9 years,Region Midtjylland,Live-born children,0,0,0,0
Men,5-9 years,Region Midtjylland,Other diseases,51,57,65,76
Men,5-9 years,Region Nordjylland,"Diagnosis, total",209,255,244,248
Men,5-9 years,Region Nordjylland,Infectious diseases,12,13,11,21
Men,5-9 years,Region Nordjylland,Diseases of lung,18,17,27,23
Men,5-9 years,Region Nordjylland,Diseases of the nervous system,7,20,13,13
Men,5-9 years,Region Nordjylland,Diseases of the heart and great vessels,..,0,..,..
Men,5-9 years,Region Nordjylland,"Diseases of arteries, veins, lymph",0,3,..,0
Men,5-9 years,Region Nordjylland,Varicose veins in leg,0,0,0,0
Men,5-9 years,Region Nordjylland,Diseases of blood and lymphatic tissue,29,16,9,3
Men,5-9 years,Region Nordjylland,Diseases of the stomach and intestines,37,50,39,45
Men,5-9 years,Region Nordjylland,Diseases of the urinary tract,8,9,7,4
Men,5-9 years,Region Nordjylland,Diseases of the musculoskeletal system,40,54,66,56
Men,5-9 years,Region Nordjylland,Diseases of female genital organs,0,0,0,0
Men,5-9 years,Region Nordjylland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,5-9 years,Region Nordjylland,Diseases of the skin and venereal diseases,4,7,6,4
Men,5-9 years,Region Nordjylland,Diseases of the eye,..,..,..,..
Men,5-9 years,Region Nordjylland,"Diseases of ear, nose and throat",8,11,9,11
Men,5-9 years,Region Nordjylland,"Endocrine, metabolic and chromosomic diseases",6,8,16,13
Men,5-9 years,Region Nordjylland,Mental disorders,0,..,0,0
Men,5-9 years,Region Nordjylland,Diseases of mamma,0,0,0,0
Men,5-9 years,Region Nordjylland,Sterilization,0,0,0,0
Men,5-9 years,Region Nordjylland,Concussion,4,..,5,4
Men,5-9 years,Region Nordjylland,Poisonings,..,3,..,..
Men,5-9 years,Region Nordjylland,Live-born children,0,0,0,0
Men,5-9 years,Region Nordjylland,Other diseases,33,39,31,47
Men,10-14 years,Region Hovedstaden,"Diagnosis, total",1259,1297,1231,1225
Men,10-14 years,Region Hovedstaden,Infectious diseases,33,42,42,55
Men,10-14 years,Region Hovedstaden,Diseases of lung,73,65,58,72
Men,10-14 years,Region Hovedstaden,Diseases of the nervous system,76,70,69,56
Men,10-14 years,Region Hovedstaden,Diseases of the heart and great vessels,7,14,11,7
Men,10-14 years,Region Hovedstaden,"Diseases of arteries, veins, lymph",17,12,14,15
Men,10-14 years,Region Hovedstaden,Varicose veins in leg,0,0,0,0
Men,10-14 years,Region Hovedstaden,Diseases of blood and lymphatic tissue,25,16,10,16
Men,10-14 years,Region Hovedstaden,Diseases of the stomach and intestines,232,213,202,197
Men,10-14 years,Region Hovedstaden,Diseases of the urinary tract,63,57,65,51
Men,10-14 years,Region Hovedstaden,Diseases of the musculoskeletal system,309,376,367,361
Men,10-14 years,Region Hovedstaden,Diseases of female genital organs,0,0,0,0
Men,10-14 years,Region Hovedstaden,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,10-14 years,Region Hovedstaden,Diseases of the skin and venereal diseases,37,41,32,35
Men,10-14 years,Region Hovedstaden,Diseases of the eye,4,8,7,10
Men,10-14 years,Region Hovedstaden,"Diseases of ear, nose and throat",26,32,19,35
