,Gender,Age,Region,Diagnosis,2019,2020,2021,2022
258,Men,5-9 years,Region Hovedstaden,Sterilization,0.0,0.0,0.0,0.0
259,Men,5-9 years,Region Hovedstaden,Concussion,24.0,24.0,18.0,13.0
260,Men,5-9 years,Region Hovedstaden,Poisonings,6.0,6.0,12.0,6.0
261,Men,5-9 years,Region Hovedstaden,Live-born children,0.0,0.0,0.0,0.0
262,Men,5-9 years,Region Hovedstaden,Other diseases,198.0,186.0,201.0,260.0
263,Men,5-9 years,Region Sjælland,"Diagnosis, total",454.0,454.0,396.0,469.0
264,Men,5-9 years,Region Sjælland,Infectious diseases,20.0,12.0,11.0,29.0
265,Men,5-9 years,Region Sjælland,Diseases of lung,42.0,32.0,30.0,39.0
266,Men,5-9 years,Region Sjælland,Diseases of the nervous system,24.0,27.0,19.0,35.0
267,Men,5-9 years,Region Sjælland,Diseases of the heart and great vessels,,,,
268,Men,5-9 years,Region Sjælland,"Diseases of arteries, veins, lymph",7.333333333333333,13.0,4.0,5.0
269,Men,5-9 years,Region Sjælland,Varicose veins in leg,0.0,0.0,0.0,0.0
270,Men,5-9 years,Region Sjælland,Diseases of blood and lymphatic tissue,17.0,21.0,12.0,16.0
271,Men,5-9 years,Region Sjælland,Diseases of the stomach and intestines,75.0,70.0,60.0,47.0
272,Men,5-9 years,Region Sjælland,Diseases of the urinary tract,33.0,24.0,26.0,16.0
273,Men,5-9 years,Region Sjælland,Diseases of the musculoskeletal system,99.0,97.0,87.0,98.0
274,Men,5-9 years,Region Sjælland,Diseases of female genital organs,0.0,0.0,0.0,0.0
275,Men,5-9 years,Region Sjælland,"Diseases of pregnancy, delivery and the perinatal period",0.0,0.0,0.0,0.0
276,Men,5-9 years,Region Sjælland,Diseases of the skin and venereal diseases,10.0,13.0,9.0,10.0
277,Men,5-9 years,Region Sjælland,Diseases of the eye,4.0,3.0,4.0,6.0
278,Men,5-9 years,Region Sjælland,"Diseases of ear, nose and throat",16.0,24.0,18.0,33.0
279,Men,5-9 years,Region Sjælland,"Endocrine, metabolic and chromosomic diseases",22.0,13.0,19.0,15.0
280,Men,5-9 years,Region Sjælland,Mental disorders,8.0,8.0,4.0,5.0
281,Men,5-9 years,Region Sjælland,Diseases of mamma,0.0,0.0,0.0,0.0
282,Men,5-9 years,Region Sjælland,Sterilization,0.0,0.0,0.0,0.0
283,Men,5-9 years,Region Sjælland,Concussion,11.0,9.0,9.0,9.0
284,Men,5-9 years,Region Sjælland,Poisonings,4.5,6.0,4.5,3.0
285,Men,5-9 years,Region Sjælland,Live-born children,0.0,0.0,0.0,0.0
286,Men,5-9 years,Region Sjælland,Other diseases,66.0,81.0,80.0,102.0
287,Men,5-9 years,Region Syddanmark,"Diagnosis, total",466.0,458.0,407.0,527.0
288,Men,5-9 years,Region Syddanmark,Infectious diseases,15.0,15.0,14.0,31.0
289,Men,5-9 years,Region Syddanmark,Diseases of lung,53.0,41.0,32.0,49.0
290,Men,5-9 years,Region Syddanmark,Diseases of the nervous system,17.0,22.0,26.0,35.0
291,Men,5-9 years,Region Syddanmark,Diseases of the heart and great vessels,4.5,4.0,4.5,5.0
292,Men,5-9 years,Region Syddanmark,"Diseases of arteries, veins, lymph",3.0,3.0,8.0,4.0
293,Men,5-9 years,Region Syddanmark,Varicose veins in leg,0.0,0.0,0.0,0.0
294,Men,5-9 years,Region Syddanmark,Diseases of blood and lymphatic tissue,14.0,10.0,8.0,20.0
295,Men,5-9 years,Region Syddanmark,Diseases of the stomach and intestines,75.0,73.0,60.0,71.0
296,Men,5-9 years,Region Syddanmark,Diseases of the urinary tract,11.0,21.0,19.0,15.0
